,serch_keyword,job_title,company_name,job_posted_date,job_location,job_link
173,data-science,  Student Job (f/m/x) - Enterprise Architecture Management (20-25 h/week)  , Raiffeisen Bank International AG ,3.2.2022,Vienna,https://www.karriere.at/jobs/5999593
174,data-science,  (Junior) Data Engineer (m/w/d)  , Capgemini  ,3.2.2022,Vienna,https://www.karriere.at/jobs/5970238
175,data-science,"  Senior Expert Science & Technology (f/m/d), 80-100% - Biostatistician  ", Novartis ,3.2.2022,Schaftenau,https://www.karriere.at/jobs/6040933
176,data-science,  Internships in the field of Digital Resilient Cities  , AIT Austrian Institute of Technology GmbH ,3.2.2022,Vienna,https://www.karriere.at/jobs/5957158
177,data-science,  Studentischer Mitarbeiter Business Development (m/w/d)  , Gebauer & Griller Kabelwerke GmbH ,2.2.2022,Vienna,https://www.karriere.at/jobs/6055057
178,data-science,  Laboratory Support Technician  , Institute of Science and Technology Austria (IST Austria) ,2.2.2022,Klosterneuburg,https://www.karriere.at/jobs/6054472
179,data-science,  Ferialpraktikant:in IT  , ASFINAG Maut Service GmbH ,2.2.2022,Vienna,https://www.karriere.at/jobs/6054115
180,data-science,  Data Platform Lead (f/m/d)  , UNIQA Insurance Group AG  ,2.2.2022,Vienna,https://www.karriere.at/jobs/6017857
181,data-science,"  Associate/Berufsanwärter (w/m/d) in der Steuerberatung, Tax Technology  ", PwC Österreich ,2.2.2022,Vienna,https://www.karriere.at/jobs/5921260
182,data-science,  Senior Data Strategist (m/w/d)  , Perfect Match Executive Search KG ,2.2.2022,Vienna,https://www.karriere.at/jobs/5954776
183,data-science,  IT Architect (m/f/d) - Technical Product Ownership  , IVM Technical Consultants ,2.2.2022,Vienna,https://www.karriere.at/jobs/6006544
184,data-science,  PhD Student (m/f/d) in the field of Cancer 3D modelling  , St. Anna Kinderkrebsforschung CCRI - Children`s Cancer Researche Institute ,2.2.2022,Vienna,https://www.karriere.at/jobs/6011956
